Model Name,Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Parameters
ResNet18 (Baseline),130,0.1069,96.38%,0.2866,90.71%,
ResNet18 (Baseline),131,0.1031,96.40%,0.2969,91.07%,
ResNet18 (Baseline),132,0.0997,96.64%,0.3061,90.67%,
ResNet18 (Baseline),133,0.0967,96.75%,0.2732,91.54%,
ResNet18 (Baseline),134,0.0935,96.85%,0.2830,91.36%,
ResNet18 (Baseline),135,0.0841,97.21%,0.3116,91.09%,
ResNet18 (Baseline),136,0.0845,97.18%,0.2592,92.12%,
ResNet18 (Baseline),137,0.0900,96.93%,0.2723,91.73%,
ResNet18 (Baseline),138,0.0871,97.06%,0.3297,90.76%,
ResNet18 (Baseline),139,0.0739,97.48%,0.2843,91.54%,
ResNet18 (Baseline),140,0.0710,97.73%,0.2828,91.50%,
ResNet18 (Baseline),141,0.0735,97.49%,0.2740,92.03%,
ResNet18 (Baseline),142,0.0669,97.76%,0.2674,92.01%,
ResNet18 (Baseline),143,0.0610,97.97%,0.2575,92.61%,
ResNet18 (Baseline),144,0.0651,97.86%,0.2615,92.64%,
ResNet18 (Baseline),145,0.0612,97.98%,0.2554,92.66%,
ResNet18 (Baseline),146,0.0590,98.07%,0.3130,91.16%,
ResNet18 (Baseline),147,0.0578,98.14%,0.2707,92.20%,
ResNet18 (Baseline),148,0.0535,98.21%,0.2815,92.31%,
ResNet18 (Baseline),149,0.0487,98.45%,0.2646,93.00%,
ResNet18 (Baseline),150,0.0435,98.58%,0.2357,93.13%,
ResNet18 (Baseline),151,0.0438,98.52%,0.2823,92.11%,
ResNet18 (Baseline),152,0.0399,98.66%,0.2441,92.95%,
ResNet18 (Baseline),153,0.0390,98.75%,0.2417,93.18%,
ResNet18 (Baseline),154,0.0325,98.96%,0.2725,92.53%,
ResNet18 (Baseline),155,0.0342,98.87%,0.2586,92.94%,
ResNet18 (Baseline),156,0.0329,98.97%,0.2409,93.53%,
ResNet18 (Baseline),157,0.0274,99.13%,0.2590,92.87%,
ResNet18 (Baseline),158,0.0260,99.18%,0.2661,92.95%,
ResNet18 (Baseline),159,0.0237,99.28%,0.2196,93.73%,
ResNet18 (Baseline),160,0.0208,99.41%,0.2392,93.82%,
ResNet18 (Baseline),161,0.0184,99.43%,0.2225,94.17%,
ResNet18 (Baseline),162,0.0148,99.57%,0.2316,93.79%,
ResNet18 (Baseline),163,0.0126,99.68%,0.2382,93.91%,
ResNet18 (Baseline),164,0.0123,99.64%,0.2349,94.00%,
ResNet18 (Baseline),165,0.0092,99.77%,0.2340,93.98%,
ResNet18 (Baseline),166,0.0100,99.72%,0.2099,94.42%,
ResNet18 (Baseline),167,0.0089,99.75%,0.2207,94.24%,
ResNet18 (Baseline),168,0.0076,99.81%,0.2125,94.36%,
ResNet18 (Baseline),169,0.0064,99.85%,0.2034,94.79%,
ResNet18 (Baseline),170,0.0044,99.93%,0.2004,94.77%,
ResNet18 (Baseline),171,0.0039,99.93%,0.1993,94.74%,
ResNet18 (Baseline),172,0.0033,99.97%,0.1996,94.87%,
ResNet18 (Baseline),173,0.0030,99.96%,0.1941,95.08%,
ResNet18 (Baseline),174,0.0025,99.97%,0.1946,94.90%,
ResNet18 (Baseline),175,0.0027,99.96%,0.1960,94.84%,
ResNet18 (Baseline),176,0.0026,99.97%,0.1911,95.18%,
ResNet18 (Baseline),177,0.0027,99.96%,0.1859,95.18%,
ResNet18 (Baseline),178,0.0024,99.98%,0.1859,95.03%,
ResNet18 (Baseline),179,0.0021,99.99%,0.1805,95.22%,
ResNet18 (Baseline),180,0.0019,99.99%,0.1821,95.06%,
ResNet18 (Baseline),181,0.0020,99.99%,0.1835,95.21%,
ResNet18 (Baseline),182,0.0020,99.99%,0.1826,95.18%,
ResNet18 (Baseline),183,0.0018,99.99%,0.1804,95.34%,
