Model Name,Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Parameters
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",13,98.5679,67.53%,118.8374,67.18%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",14,126.3806,68.20%,144.7440,67.91%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",15,162.8133,68.05%,187.3395,67.63%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",16,194.8593,68.60%,247.2596,69.00%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",17,241.5168,68.62%,276.8927,67.66%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",18,285.0660,68.86%,312.1774,67.73%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",19,330.3682,68.28%,383.8917,68.11%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",20,383.6429,68.44%,436.8103,68.26%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",1,0.9155,70.58%,0.5924,78.84%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",2,0.5249,81.08%,0.5041,82.45%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",3,0.4688,83.20%,0.4762,83.09%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",4,0.4495,83.74%,0.4786,82.69%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",5,0.4590,83.56%,0.4968,81.86%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",6,0.4857,82.38%,0.5992,80.28%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",7,0.5840,79.02%,0.6610,79.01%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",8,0.6370,78.09%,0.7068,77.63%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",9,0.7571,75.84%,0.8717,74.45%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",10,0.7649,74.69%,0.8393,72.92%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",11,1.0878,69.29%,1.2643,64.95%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",12,1.3605,69.78%,1.5814,68.11%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",13,1.7863,69.01%,2.0436,69.70%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",14,1.9399,70.33%,2.2031,69.43%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",15,2.3290,69.46%,2.8361,68.29%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",16,3.2485,68.81%,3.9369,68.40%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",17,4.3178,68.81%,5.3454,69.21%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",18,6.2177,69.89%,7.4000,70.41%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",19,7.8175,70.54%,9.2992,69.20%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",20,9.5920,70.85%,12.1456,68.79%,"ashift=True, bx=8, bw=8, ba=8, k=4"
