Model Name,Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Parameters
"MLPADCAshift (ashift=True, bx=4, bw=4, ba=8, k=4)",9,0.3414,87.42%,0.4065,85.65%,"ashift=True, bx=4, bw=4, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=4, bw=4, ba=8, k=4)",10,0.3398,87.53%,0.4197,85.44%,"ashift=True, bx=4, bw=4, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=4, bw=4, ba=8, k=4)",11,0.3464,87.27%,0.4164,85.18%,"ashift=True, bx=4, bw=4, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=4, bw=4, ba=8, k=4)",12,0.3513,87.08%,0.4359,85.04%,"ashift=True, bx=4, bw=4, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=4, bw=4, ba=8, k=4)",13,0.3569,87.11%,0.4265,84.97%,"ashift=True, bx=4, bw=4, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=4, bw=4, ba=8, k=4)",14,0.3508,87.31%,0.4411,85.12%,"ashift=True, bx=4, bw=4, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=4, bw=4, ba=8, k=4)",15,0.3793,86.59%,0.4612,84.20%,"ashift=True, bx=4, bw=4, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=4, bw=4, ba=8, k=4)",16,0.3909,86.53%,0.5062,84.49%,"ashift=True, bx=4, bw=4, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=4, bw=4, ba=8, k=4)",17,0.4212,86.08%,0.5335,82.65%,"ashift=True, bx=4, bw=4, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=4, bw=4, ba=8, k=4)",18,0.4164,86.39%,0.5376,85.07%,"ashift=True, bx=4, bw=4, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=4, bw=4, ba=8, k=4)",19,0.4583,86.02%,0.6407,84.44%,"ashift=True, bx=4, bw=4, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=4, bw=4, ba=8, k=4)",20,0.5201,85.31%,0.6528,84.57%,"ashift=True, bx=4, bw=4, ba=8, k=4"
"MLPADCAshift+W-Reshape (ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001)",1,0.7822,73.44%,0.5213,81.34%,"ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADCAshift+W-Reshape (ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001)",2,0.4733,83.23%,0.4691,83.02%,"ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADCAshift+W-Reshape (ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001)",3,0.4199,85.06%,0.4342,84.31%,"ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADCAshift+W-Reshape (ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001)",4,0.3829,86.46%,0.4127,84.97%,"ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADCAshift+W-Reshape (ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001)",5,0.3639,87.06%,0.4290,84.17%,"ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADCAshift+W-Reshape (ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001)",6,0.3571,87.16%,0.3927,86.11%,"ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADCAshift+W-Reshape (ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001)",7,0.3356,88.03%,0.3856,86.08%,"ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADCAshift+W-Reshape (ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001)",8,0.3248,88.25%,0.3808,86.54%,"ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADCAshift+W-Reshape (ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001)",9,0.3200,88.36%,0.3635,87.16%,"ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADCAshift+W-Reshape (ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001)",10,0.3092,88.81%,0.3798,85.98%,"ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADCAshift+W-Reshape (ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001)",11,0.3061,89.03%,0.3640,87.14%,"ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADCAshift+W-Reshape (ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001)",12,0.2939,89.36%,0.3543,87.17%,"ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADCAshift+W-Reshape (ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001)",13,0.2914,89.45%,0.3748,86.49%,"ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADCAshift+W-Reshape (ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001)",14,0.2863,89.67%,0.3628,87.49%,"ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADCAshift+W-Reshape (ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001)",15,0.2819,89.84%,0.3727,86.52%,"ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADCAshift+W-Reshape (ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001)",16,0.2812,89.79%,0.3658,87.03%,"ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADCAshift+W-Reshape (ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001)",17,0.2719,90.12%,0.3640,86.93%,"ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADCAshift+W-Reshape (ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001)",18,0.2699,90.28%,0.3706,86.76%,"ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADCAshift+W-Reshape (ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001)",19,0.2632,90.38%,0.3716,86.81%,"ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADCAshift+W-Reshape (ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001)",20,0.2668,90.28%,0.3684,87.35%,"ashift=True, bx=4,bw=4,ba=8,k=4,lk=0.001"
